"filename", "language", "HTML", "JSON", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\reybe\Desktop\Mağaza\app.js", "JavaScript", 0, 0, 15, 0, 0, 10, 25
"c:\Users\reybe\Desktop\Mağaza\controllers\admin.js", "JavaScript", 0, 0, 24, 0, 0, 5, 29
"c:\Users\reybe\Desktop\Mağaza\controllers\error.js", "JavaScript", 0, 0, 3, 0, 0, 1, 4
"c:\Users\reybe\Desktop\Mağaza\controllers\shop.js", "JavaScript", 0, 0, 31, 0, 0, 4, 35
"c:\Users\reybe\Desktop\Mağaza\data\products.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\reybe\Desktop\Mağaza\models\product.js", "JavaScript", 0, 0, 32, 0, 0, 6, 38
"c:\Users\reybe\Desktop\Mağaza\package-lock.json", "JSON", 0, 1248, 0, 0, 0, 1, 1249
"c:\Users\reybe\Desktop\Mağaza\package.json", "JSON", 0, 12, 0, 0, 0, 1, 13
"c:\Users\reybe\Desktop\Mağaza\public\css\forms.css", "PostCSS", 0, 0, 0, 17, 0, 4, 21
"c:\Users\reybe\Desktop\Mağaza\public\css\main.css", "PostCSS", 0, 0, 0, 89, 0, 20, 109
"c:\Users\reybe\Desktop\Mağaza\public\css\product.css", "PostCSS", 0, 0, 0, 21, 0, 4, 25
"c:\Users\reybe\Desktop\Mağaza\routes\admin.js", "JavaScript", 0, 0, 8, 0, 2, 8, 18
"c:\Users\reybe\Desktop\Mağaza\routes\shop.js", "JavaScript", 0, 0, 9, 0, 0, 6, 15
"c:\Users\reybe\Desktop\Mağaza\util\path.js", "JavaScript", 0, 0, 2, 0, 0, 1, 3
"c:\Users\reybe\Desktop\Mağaza\views\404.ejs", "HTML", 6, 0, 0, 0, 0, 2, 8
"c:\Users\reybe\Desktop\Mağaza\views\admin\add-product.ejs", "HTML", 16, 0, 0, 0, 0, 3, 19
"c:\Users\reybe\Desktop\Mağaza\views\admin\edit-product.ejs", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\reybe\Desktop\Mağaza\views\admin\products.ejs", "HTML", 5, 0, 0, 0, 0, 1, 6
"c:\Users\reybe\Desktop\Mağaza\views\includes\end.ejs", "HTML", 2, 0, 0, 0, 0, 1, 3
"c:\Users\reybe\Desktop\Mağaza\views\includes\head.ejs", "HTML", 8, 0, 0, 0, 0, 1, 9
"c:\Users\reybe\Desktop\Mağaza\views\includes\navigation.ejs", "HTML", 11, 0, 0, 0, 0, 0, 11
"c:\Users\reybe\Desktop\Mağaza\views\shop\cart.ejs", "HTML", 5, 0, 0, 0, 0, 1, 6
"c:\Users\reybe\Desktop\Mağaza\views\shop\checkout.ejs", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\reybe\Desktop\Mağaza\views\shop\index.ejs", "HTML", 32, 0, 0, 0, 0, 2, 34
"c:\Users\reybe\Desktop\Mağaza\views\shop\product-detail.ejs", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\reybe\Desktop\Mağaza\views\shop\product-list.ejs", "HTML", 32, 0, 0, 0, 0, 2, 34
"Total", "-", 117, 1261, 124, 127, 2, 87, 1718
